number of pages: 11
number of pages11
(player1: 2356920| player2: 2356936| p1_score: 2| p2_score: 0); 
(player1: 2357616| player2: 2357614| p1_score: -1| p2_score: 0); 
(player1: 2356927| player2: 2357156| p1_score: -1| p2_score: 0); 
(player1: 2356997| player2: 2356884| p1_score: 0| p2_score: -1); 
(player1: 2357159| player2: 2357092| p1_score: -1| p2_score: 0); 
(player1: 2357131| player2: 2348954| p1_score: 3| p2_score: 2); 
(player1: 2357024| player2: 2356934| p1_score: 0| p2_score: 3); 
(player1: 2357134| player2: 2357396| p1_score: 3| p2_score: 1); 
(player1: 2357147| player2: 2357154| p1_score: 2| p2_score: 3); 
(player1: 2357187| player2: 2357140| p1_score: 0| p2_score: 3); 
(player1: 2357149| player2: 2348954| p1_score: 1| p2_score: 3); 
(player1: 2356920| player2: 2357140| p1_score: 2| p2_score: 0); 
(player1: 2348954| player2: 2357131| p1_score: 2| p2_score: 3); 
(player1: 2357107| player2: 2357608| p1_score: 0| p2_score: 2); 
(player1: 2348954| player2: 2357026| p1_score: 2| p2_score: 1); 
(player1: 2357172| player2: 2356872| p1_score: 0| p2_score: 2); 
(player1: 2356940| player2: 2357149| p1_score: 3| p2_score: 0); 
(player1: 2341240| player2: 2357189| p1_score: 2| p2_score: 0); 
(player1: 2357026| player2: 2357117| p1_score: 0| p2_score: -1); 
(player1: 2357131| player2: 2356960| p1_score: 2| p2_score: 0); 
(player1: 2357179| player2: 2356873| p1_score: 0| p2_score: -1); 
(player1: 2357013| player2: 2357182| p1_score: 0| p2_score: 2); 
(player1: 2356999| player2: 2357396| p1_score: 2| p2_score: 0); 
(player1: 2357035| player2: 2357620| p1_score: 0| p2_score: 2); 
(player1: 2356940| player2: 2357134| p1_score: 2| p2_score: 0); 
(player1: 2356934| player2: 2357610| p1_score: 0| p2_score: 2); 
(player1: 2357163| player2: 2348777| p1_score: 2| p2_score: 0); 
(player1: 2357149| player2: 2357024| p1_score: 2| p2_score: 0); 
(player1: 2357244| player2: 2357622| p1_score: 0| p2_score: 2); 
(player1: 2357033| player2: 2357111| p1_score: -1| p2_score: 0); 
(player1: 2357169| player2: 2357134| p1_score: -1| p2_score: 0); 
(player1: 2328497| player2: 2357614| p1_score: 0| p2_score: -1); 
(player1: 2357156| player2: 2357101| p1_score: -1| p2_score: 0); 
(player1: 2357176| player2: 2356884| p1_score: 0| p2_score: -1); 
(player1: 2357024| player2: 2357092| p1_score: 2| p2_score: 0); 
(player1: 2356934| player2: 2357184| p1_score: 2| p2_score: 1); 
(player1: 2357134| player2: 2357144| p1_score: 2| p2_score: 0); 
(player1: 2357396| player2: 2357177| p1_score: 2| p2_score: 0); 
(player1: 2356960| player2: 2357147| p1_score: 1| p2_score: 2); 
(player1: 2357189| player2: 2357154| p1_score: 0| p2_score: 2); 
(player1: 2357026| player2: 2357187| p1_score: 0| p2_score: 2); 
(player1: 2357140| player2: 2356964| p1_score: 2| p2_score: 1); 
(player1: 2357149| player2: 2356920| p1_score: 3| p2_score: 0); 
(player1: 2348954| player2: 2356999| p1_score: 3| p2_score: 1); 
(player1: 2357024| player2: 2357150| p1_score: 2| p2_score: 0); 
(player1: 2356920| player2: 2341240| p1_score: 3| p2_score: 1); 
(player1: 2356999| player2: 2357154| p1_score: 3| p2_score: 1); 
(player1: 2356936| player2: 2357150| p1_score: 0| p2_score: 2); 
(player1: 2356967| player2: 2357184| p1_score: 0| p2_score: 2); 
(player1: 2357144| player2: 2357142| p1_score: 2| p2_score: 1); 
(player1: 2357177| player2: 2357174| p1_score: 2| p2_score: 0); 
(player1: 2357092| player2: 2357147| p1_score: 1| p2_score: 2); 
(player1: 2357390| player2: 2357154| p1_score: 0| p2_score: 2); 
(player1: 2357170| player2: 2357187| p1_score: 0| p2_score: 2); 
(player1: 2356964| player2: 2357163| p1_score: 2| p2_score: 0); 


number of pages: 11
number of pages11
(player1: 2356920| player2: 2356936| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357150| player2: 2357140| p1_score: 1| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2348954| player2: 2356967| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357026| player2: 2356932| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2341240| player2: 2356898| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357189| player2: 2357142| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357131| player2: 2357177| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356960| player2: 2357174| p1_score: 2| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2356999| player2: 2356943| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357396| player2: 2357147| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356940| player2: 2357390| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357134| player2: 2357154| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356934| player2: 2357170| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357187| player2: 2357610| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357149| player2: 2356964| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357024| player2: 2357167| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356940| player2: 2357131| p1_score: 0| p2_score: 3); 
--------------------------------------------------------------------------------------------------------
(player1: 2357131| player2: 2356940| p1_score: 3| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357174| player2: 2357107| p1_score: 0| p2_score: -1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357177| player2: 2357176| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357142| player2: 2357172| p1_score: 0| p2_score: -1); 
--------------------------------------------------------------------------------------------------------
(player1: 2356898| player2: 2357144| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356932| player2: 2357184| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2356967| player2: 2357111| p1_score: 0| p2_score: -1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357150| player2: 2357003| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356936| player2: 2357622| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357167| player2: 2357163| p1_score: 1| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2356964| player2: 2357620| p1_score: 2| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357187| player2: 2357182| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357170| player2: 2356946| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357154| player2: 2357185| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357390| player2: 2356872| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357147| player2: 2357086| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356943| player2: 2357092| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357107| player2: 2357017| p1_score: 0| p2_score: -1); 
--------------------------------------------------------------------------------------------------------
(player1: 2356913| player2: 2357176| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357172| player2: 2357101| p1_score: 0| p2_score: -1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357144| player2: 2328497| p1_score: 2| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2356873| player2: 2357184| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357013| player2: 2357111| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357035| player2: 2357003| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357148| player2: 2357622| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2356978| player2: 2357163| p1_score: 1| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2356905| player2: 2357620| p1_score: 1| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357033| player2: 2357182| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356946| player2: 2357179| p1_score: 0| p2_score: -1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357614| player2: 2357185| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357156| player2: 2356872| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356997| player2: 2357086| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357092| player2: 2357608| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357131| player2: 2357620| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356905| player2: 2357177| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2356960| player2: 2357163| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357174| player2: 2356978| p1_score: 2| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2356999| player2: 2357622| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357148| player2: 2356943| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357396| player2: 2357003| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356890| player2: 2357147| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2356940| player2: 2357111| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356918| player2: 2357390| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357184| player2: 2357134| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357154| player2: 2356972| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356934| player2: 2328497| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357144| player2: 2357170| p1_score: 1| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357187| player2: 2357101| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357610| player2: 2356995| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357149| player2: 2357176| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356913| player2: 2356964| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357017| player2: 2357024| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357167| player2: 2356867| p1_score: 0| p2_score: -1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357131| player2: 2356940| p1_score: 2| p2_score: 3); 
--------------------------------------------------------------------------------------------------------
(player1: 2356920| player2: 2348954| p1_score: 1| p2_score: 3); 
--------------------------------------------------------------------------------------------------------
(player1: 2341240| player2: 2357131| p1_score: 0| p2_score: 3); 
--------------------------------------------------------------------------------------------------------
(player1: 2356999| player2: 2356940| p1_score: 0| p2_score: 3); 
--------------------------------------------------------------------------------------------------------
(player1: 2357610| player2: 2357149| p1_score: 0| p2_score: 3); 
--------------------------------------------------------------------------------------------------------
(player1: 2356920| player2: 2357608| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356936| player2: 2357159| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357086| player2: 2357150| p1_score: 1| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357140| player2: 2356997| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2348954| player2: 2356872| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356927| player2: 2356967| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357185| player2: 2357026| p1_score: 1| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2356932| player2: 2357616| p1_score: 0| p2_score: -1); 
--------------------------------------------------------------------------------------------------------
(player1: 2341240| player2: 2357179| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356898| player2: 2356946| p1_score: 2| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357189| player2: 2357182| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357232| player2: 2357142| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2341240| player2: 2356934| p1_score: 3| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2356920| player2: 2357134| p1_score: 3| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357610| player2: 2357154| p1_score: 0| p2_score: 3); 
--------------------------------------------------------------------------------------------------------
(player1: 2356999| player2: 2357140| p1_score: 3| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2356867| player2: 2357107| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356995| player2: 2357172| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357144| player2: 2357117| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356972| player2: 2356873| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356918| player2: 2357013| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356890| player2: 2357035| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357148| player2: 2348777| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356978| player2: 2357244| p1_score: 2| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357232| player2: 2357033| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356946| player2: 2357169| p1_score: 0| p2_score: -1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357616| player2: 2357614| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356927| player2: 2357156| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356997| player2: 2356884| p1_score: 0| p2_score: -1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357159| player2: 2357092| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357131| player2: 2348954| p1_score: 3| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357024| player2: 2356934| p1_score: 0| p2_score: 3); 
--------------------------------------------------------------------------------------------------------
(player1: 2357134| player2: 2357396| p1_score: 3| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357147| player2: 2357154| p1_score: 2| p2_score: 3); 
--------------------------------------------------------------------------------------------------------
(player1: 2357187| player2: 2357140| p1_score: 0| p2_score: 3); 
--------------------------------------------------------------------------------------------------------
(player1: 2357149| player2: 2348954| p1_score: 1| p2_score: 3); 
--------------------------------------------------------------------------------------------------------
(player1: 2356920| player2: 2357140| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2348954| player2: 2357131| p1_score: 2| p2_score: 3); 
--------------------------------------------------------------------------------------------------------
(player1: 2357107| player2: 2357608| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2348954| player2: 2357026| p1_score: 2| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357172| player2: 2356872| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2356940| player2: 2357149| p1_score: 3| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2341240| player2: 2357189| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357026| player2: 2357117| p1_score: 0| p2_score: -1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357131| player2: 2356960| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357179| player2: 2356873| p1_score: 0| p2_score: -1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357013| player2: 2357182| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2356999| player2: 2357396| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357035| player2: 2357620| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2356940| player2: 2357134| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356934| player2: 2357610| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357163| player2: 2348777| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357149| player2: 2357024| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357244| player2: 2357622| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357033| player2: 2357111| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357169| player2: 2357134| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2328497| player2: 2357614| p1_score: 0| p2_score: -1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357156| player2: 2357101| p1_score: -1| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357176| player2: 2356884| p1_score: 0| p2_score: -1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357024| player2: 2357092| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356934| player2: 2357184| p1_score: 2| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357134| player2: 2357144| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357396| player2: 2357177| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356960| player2: 2357147| p1_score: 1| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357189| player2: 2357154| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357026| player2: 2357187| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357140| player2: 2356964| p1_score: 2| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357149| player2: 2356920| p1_score: 3| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2348954| player2: 2356999| p1_score: 3| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357024| player2: 2357150| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2356920| player2: 2341240| p1_score: 3| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2356999| player2: 2357154| p1_score: 3| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2356936| player2: 2357150| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2356967| player2: 2357184| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357144| player2: 2357142| p1_score: 2| p2_score: 1); 
--------------------------------------------------------------------------------------------------------
(player1: 2357177| player2: 2357174| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------
(player1: 2357092| player2: 2357147| p1_score: 1| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357390| player2: 2357154| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2357170| player2: 2357187| p1_score: 0| p2_score: 2); 
--------------------------------------------------------------------------------------------------------
(player1: 2356964| player2: 2357163| p1_score: 2| p2_score: 0); 
--------------------------------------------------------------------------------------------------------


